WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                4060 Mem[         42]:           0 (00000000000000000000000000000000)
                4060 Mem[         43]:           0 (00000000000000000000000000000000)
                4060 Mem[         44]:           0 (00000000000000000000000000000000)
                4060 Mem[         45]:           0 (00000000000000000000000000000000)
                4060 Mem[         46]:         224 (00000000000000000000000011100000)
                4060 Mem[         47]:           0 (00000000000000000000000000000000)
                4060 Mem[         48]:           0 (00000000000000000000000000000000)
                4060 Mem[         49]:           0 (00000000000000000000000000000000)
                4060 Mem[         50]:           0 (00000000000000000000000000000000)
                4060 Mem[         51]:           0 (00000000000000000000000000000000)
                4060 Mem[         52]:           0 (00000000000000000000000000000000)
                4060 Mem[         53]:           0 (00000000000000000000000000000000)
                4060 Mem[         54]:         256 (00000000000000000000000100000000)
                4060 Mem[         55]:           0 (00000000000000000000000000000000)
                4060 Mem[         56]:           0 (00000000000000000000000000000000)
                4060 Mem[         57]:           0 (00000000000000000000000000000000)
                4060 Mem[         58]:           0 (00000000000000000000000000000000)
                4060 Mem[         59]:           0 (00000000000000000000000000000000)
                4060 Mem[         60]:           0 (00000000000000000000000000000000)
                4060 Mem[         61]:           0 (00000000000000000000000000000000)
                4060 Mem[         62]:         288 (00000000000000000000000100100000)
                4060 Mem[         63]:           0 (00000000000000000000000000000000)
                4060 Mem[         64]:           0 (00000000000000000000000000000000)
                4060 Mem[         65]:           0 (00000000000000000000000000000000)
                4060 Mem[         66]:           0 (00000000000000000000000000000000)
                4060 Mem[         67]:           0 (00000000000000000000000000000000)
                4060 Mem[         68]:           0 (00000000000000000000000000000000)
                4060 Mem[         69]:           0 (00000000000000000000000000000000)
                4060 Mem[         70]:         320 (00000000000000000000000101000000)
                4060 Mem[         71]:           0 (00000000000000000000000000000000)
                4060 Mem[         72]:         168 (00000000000000000000000010101000)
                4060 Mem[         73]:           0 (00000000000000000000000000000000)
                4060 Mem[         74]:           0 (00000000000000000000000000000000)
                4060 Mem[         75]:           0 (00000000000000000000000000000000)
                4060 Mem[         76]:           0 (00000000000000000000000000000000)
                4060 Mem[         77]:           0 (00000000000000000000000000000000)
                4060 Mem[         78]:         352 (00000000000000000000000101100000)
                4060 Mem[         79]:           0 (00000000000000000000000000000000)
                4060 Mem[         80]:           0 (00000000000000000000000000000000)
                4060 Mem[         81]:           0 (00000000000000000000000000000000)
                4060 Mem[         82]:           0 (00000000000000000000000000000000)
                4060 Mem[         83]:           0 (00000000000000000000000000000000)
                4060 Mem[         84]:           0 (00000000000000000000000000000000)
                4060 Mem[         85]:           0 (00000000000000000000000000000000)
                4060 Mem[         86]:         384 (00000000000000000000000110000000)
                4060 Mem[         87]:           0 (00000000000000000000000000000000)
                4060 Mem[         88]:         168 (00000000000000000000000010101000)
